window_id,container_id,machine_id,anomaly_score,ae_only_label,gpt_label,severity,top_k_features,explanation,recommended_action
60719,c_12926,m_2314,6.474415,anomaly,,,"['mem_gps', 'mem_util', 'net_out', 'disk_io', 'cpi']",,
87901,c_16052,m_2974,6.2595882,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
148728,c_21602,m_716,5.6932154,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'cpu_util', 'disk_io']",,
158488,c_28294,m_913,6.1699924,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'cpu_util', 'disk_io']",,
85886,c_10352,m_290,5.506345,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
21994,c_17106,m_1464,6.7435317,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
19814,c_26226,m_1416,11.515323,anomaly,,,"['mem_gps', 'net_out', 'cpu_util', 'cpi', 'mpki']",,
58695,c_12272,m_2282,8.788583,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
8553,c_12612,m_116,8.931929,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
65084,c_169,m_2428,5.581274,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
24226,c_10223,m_1514,6.348439,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
83006,c_21104,m_2825,6.1621647,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
42151,c_23669,m_1904,8.25633,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
151925,c_28879,m_770,7.8855753,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
76026,c_12771,m_2636,8.5303135,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
159816,c_10429,m_931,9.22744,anomaly,,,"['mem_gps', 'net_in', 'cpi', 'net_out', 'disk_io']",,
66910,c_20575,m_2466,10.564493,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'net_in']",,
117573,c_21234,m_3652,12.143772,anomaly,,,"['mem_gps', 'net_out', 'cpi', 'disk_io', 'mpki']",,
88064,c_23912,m_298,9.851687,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
60376,c_17755,m_2310,7.5525484,anomaly,,,"['mem_gps', 'net_in', 'net_out', 'cpi', 'mem_util']",,
73676,c_1892,m_2590,9.254508,anomaly,,,"['mem_gps', 'net_in', 'net_out', 'cpi', 'cpu_util']",,
160495,c_12375,m_941,6.311712,anomaly,,,"['mem_gps', 'mem_util', 'disk_io', 'mpki', 'cpi']",,
145397,c_26959,m_642,8.275138,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'cpu_util']",,
137809,c_25539,m_47,6.5778036,anomaly,,,"['mem_gps', 'mpki', 'cpi', 'disk_io', 'cpu_util']",,
148534,c_26236,m_703,6.42851,anomaly,,,"['mem_gps', 'mpki', 'cpi', 'disk_io', 'cpu_util']",,
138446,c_16340,m_482,5.833226,anomaly,,,"['mem_gps', 'net_in', 'mpki', 'cpi', 'disk_io']",,
85695,c_301,m_2894,6.3946066,anomaly,,,"['mem_gps', 'mpki', 'cpi', 'disk_io', 'cpu_util']",,
67401,c_2953,m_2481,5.7374086,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'mem_util', 'net_out']",,
114420,c_12291,m_3559,8.141432,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'net_out']",,
116147,c_28828,m_3622,13.289595,anomaly,,,"['mem_gps', 'net_in', 'mem_util', 'cpu_util', 'disk_io']",,
69081,c_1120,m_2508,7.73329,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'cpu_util', 'net_in']",,
65415,c_27729,m_2452,7.786004,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'net_in', 'cpu_util']",,
91085,c_18288,m_3068,9.533963,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'cpu_util', 'net_out']",,
70554,c_21834,m_253,11.417215,anomaly,,,"['mem_gps', 'disk_io', 'net_in', 'mem_util', 'cpi']",,
82665,c_12432,m_2821,15.2549305,anomaly,,,"['mem_gps', 'net_in', 'cpi', 'net_out', 'disk_io']",,
134116,c_22700,m_4028,11.88792,anomaly,,,"['mem_gps', 'cpi', 'net_in', 'disk_io', 'net_out']",,
63073,c_24468,m_2364,6.336143,anomaly,,,"['mem_gps', 'cpi', 'net_in', 'disk_io', 'net_out']",,
87565,c_18868,m_2953,7.036735,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mem_util', 'cpu_util']",,
118719,c_24201,m_3672,6.2980423,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mem_util', 'mpki']",,
158150,c_25264,m_900,5.621373,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'mpki']",,
73362,c_24794,m_258,8.334507,anomaly,,,"['mem_gps', 'mem_util', 'cpi', 'cpu_util', 'disk_io']",,
103453,c_30088,m_3332,7.835879,anomaly,,,"['mem_gps', 'mem_util', 'cpi', 'cpu_util', 'disk_io']",,
133121,c_25394,m_401,7.550599,anomaly,,,"['mem_gps', 'mem_util', 'cpi', 'cpu_util', 'disk_io']",,
5040,c_27272,m_1080,7.4598904,anomaly,,,"['mem_gps', 'net_in', 'net_out', 'cpi', 'mem_util']",,
44294,c_17116,m_1978,6.8012385,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'cpu_util', 'disk_io']",,
139269,c_17152,m_49,8.219119,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
7240,c_22344,m_1110,8.869969,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
145405,c_26959,m_642,9.454208,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_in']",,
82674,c_12432,m_2821,13.502464,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'net_out']",,
159157,c_1275,m_926,10.653088,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'cpu_util']",,
44795,c_13703,m_199,11.286612,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'cpu_util']",,
108728,c_15028,m_3461,5.929631,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'cpu_util']",,
83529,c_18736,m_2837,6.30966,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'net_out']",,
143887,c_22083,m_620,7.1476884,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'net_in', 'mpki']",,
115983,c_16523,m_3620,7.8212557,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'mpki', 'net_out']",,
16075,c_10987,m_1326,6.086306,anomaly,,,"['mem_gps', 'mpki', 'disk_io', 'cpi', 'net_out']",,
71691,c_22472,m_2562,12.103169,anomaly,,,"['net_in', 'cpu_util', 'net_out', 'cpi', 'mem_gps']",,
71368,c_11181,m_255,15.249006,anomaly,,,"['mem_gps', 'mem_util', 'cpu_util', 'mpki', 'cpi']",,
9911,c_21383,m_1185,16.973057,anomaly,,,"['mem_gps', 'disk_io', 'mem_util', 'cpu_util', 'mpki']",,
77058,c_11474,m_2672,17.725811,anomaly,,,"['mem_gps', 'disk_io', 'cpu_util', 'mem_util', 'cpi']",,
112113,c_20691,m_3507,12.679634,anomaly,,,"['mem_gps', 'net_in', 'mem_util', 'disk_io', 'net_out']",,
17346,c_29239,m_1349,9.082995,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'cpu_util', 'mpki']",,
28782,c_23754,m_1638,6.700972,anomaly,,,"['mem_gps', 'cpu_util', 'cpi', 'disk_io', 'net_in']",,
111109,c_11484,m_3494,7.91718,anomaly,,,"['mem_gps', 'mem_util', 'net_out', 'cpu_util', 'cpi']",,
70215,c_1280,m_2524,6.5144506,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']",,
113776,c_21190,m_3541,6.2804227,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']",,
70567,c_21834,m_253,6.631698,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']",,
51041,c_12181,m_2145,13.882955,anomaly,,,"['mem_gps', 'disk_io', 'mpki', 'cpu_util', 'cpi']",,
158504,c_28294,m_913,16.771332,anomaly,,,"['mem_gps', 'net_in', 'net_out', 'disk_io', 'cpu_util']",,
78568,c_15710,m_2708,14.957536,anomaly,,,"['mem_gps', 'cpu_util', 'disk_io', 'cpi', 'mpki']",,
48846,c_21403,m_2086,6.015822,anomaly,,,"['mem_gps', 'disk_io', 'net_out', 'cpi', 'cpu_util']",,
151275,c_27860,m_755,7.5318103,anomaly,,,"['mem_gps', 'net_in', 'net_out', 'mem_util', 'disk_io']",,
48849,c_21403,m_2086,16.332026,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'mpki']",,
160334,c_16042,m_940,15.119082,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'cpu_util', 'mpki']",,
70217,c_1280,m_2524,15.0601425,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']",,
36179,c_16770,m_1796,7.0937624,anomaly,,,"['mem_gps', 'disk_io', 'cpi', 'net_out', 'net_in']",,
156454,c_25358,m_874,7.291049,anomaly,,,"['mem_gps', 'cpi', 'mpki', 'disk_io', 'net_out']",,
37516,c_2593,m_1828,7.158198,anomaly,,,"['mem_gps', 'cpi', 'disk_io', 'net_out', 'mpki']",,
114954,c_17770,m_3577,5.7254486,anomaly,,,"['mem_gps', 'mpki', 'cpi', 'cpu_util', 'disk_io']",,
157650,c_20397,m_890,5.8463287,anomaly,,,"['mem_gps', 'mpki', 'cpi', 'disk_io', 'cpu_util']",,
116165,c_28828,m_3622,5.597571,anomaly,,,"['mem_gps', 'disk_io', 'mpki', 'cpi', 'cpu_util']",,
